state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands	Public Supply population served by groundwater, in thousands	Public Supply population served by surface water, in thousands	Public Supply total population served, in thousands	Public Supply self-supplied groundwater withdrawals, fresh, in Mgal/d	Public Supply self-supplied groundwater withdrawals, saline, in Mgal/d	Public Supply total self-supplied withdrawals, groundwater, in Mgal/d	Public Supply self-supplied surface-water withdrawals, fresh, in Mgal/d	Public Supply self-supplied surface-water withdrawals, saline, in Mgal/d	Public Supply total self-supplied withdrawals, surface water, in Mgal/d	Public Supply total self-supplied withdrawals, fresh, in Mgal/d	Public Supply total self-supplied withdrawals, saline, in Mgal/d	Public Supply total self-supplied withdrawals, total, in Mgal/d	Public Supply deliveries to domestic, in Mgal/d	Public Supply deliveries to commercial, in Mgal/d	Public Supply deliveries to industrial, in Mgal/d	Public Supply deliveries to thermoelectric, in Mgal/d	Public Supply total deliveries, in Mgal/d	Public Supply public use and losses, in Mgal/d	Public Supply per capita use, in gallons/person/day	Public Supply reclaimed wastewater, in Mgal/d	Public Supply number of facilities	Commercial self-supplied groundwater withdrawals, fresh, in Mgal/d	Commercial self-supplied groundwater withdrawals, saline, in Mgal/d	Commercial total self-supplied withdrawals, groundwater, in Mgal/d	Commercial self-supplied surface-water withdrawals, fresh, in Mgal/d	Commercial self-supplied surface-water withdrawals, saline, in Mgal/d	Commercial total self-supplied withdrawals, surface water, in Mgal/d	Commercial total self-supplied withdrawals, fresh, in Mgal/d	Commercial total self-supplied withdrawals, saline, in Mgal/d	Commercial total self-supplied withdrawals, in Mgal/d	Commercial deliveries from public supply, in Mgal/d	Commercial total self-supplied withdrawals plus deliveries, in Mgal/d	Commercial consumptive use, fresh, in Mgal/d	Commercial consumptive use, saline, in Mgal/d	Commercial total consumptive use, in Mgal/d	Commercial reclaimed wastewater, in Mgal/d	Domestic self-supplied population, in thousands	Domestic self-supplied groundwater withdrawals, fresh, in Mgal/d	Domestic self-supplied groundwater withdrawals, saline, in Mgal/d	Domestic total self-supplied withdrawals, groundwater, in Mgal/d	Domestic self-supplied surface-water withdrawals, fresh, in Mgal/d	Domestic self-supplied surface-water withdrawals, saline, in Mgal/d	Domestic total self-supplied withdrawals, surface water, in Mgal/d	Domestic total self-supplied withdrawals, fresh, in Mgal/d	Domestic total self-supplied withdrawals, saline, in Mgal/d	Domestic total self-supplied withdrawals, in Mgal/d	Domestic per capita use, self-supplied, in gallons/person/day	Domestic deliveries from public supply, in Mgal/d	Domestic per capita use, public-supplied, in gallons/person/day	Domestic total self-supplied withdrawals plus deliveries, in Mgal/d	Domestic consumptive use, fresh, in Mgal/d	Domestic consumptive use, saline, in Mgal/d	Domestic total consumptive use, in Mgal/d	Livestock self-supplied groundwater withdrawals, fresh, in Mgal/d	Livestock self-supplied surface-water withdrawals, fresh, in Mgal/d	Livestock total self-supplied withdrawals, fresh, in Mgal/d	Livestock consumptive use, fresh, in Mgal/d	Irrigation, Total self-supplied groundwater withdrawals, fresh, in Mgal/d	Irrigation, Total self-supplied surface-water withdrawals, fresh, in Mgal/d	Irrigation, Total consumptive use, fresh, in Mgal/d	Irrigation, Total sprinkler irrigation, in thousand acres	Irrigation, Total microirrigation, in thousand acres	Irrigation, Total surface irrigation, in thousand acres	Irrigation, Total total irrigation, in thousand acres	Irrigation, Total reclaimed wastewater, in Mgal/d	Irrigation, Crop self-supplied groundwater withdrawals for crops, fresh, in Mgal/d	Irrigation, Crop self-supplied surface-water withdrawals for crops, fresh, in Mgal/d	Irrigation, Crop total self-supplied withdrawals for crops, fresh, in Mgal/d	Irrigation, Crop consumptive use for crops, fresh, in Mgal/d	Irrigation, Crop sprinkler irrigation for crops, in thousand acres	Irrigation, Crop microirrigation for crops, in thousand acres	Irrigation, Crop surface irrigation for crops, in thousand acres	Irrigation, Crop total irrigation for crops, in thousand acres	Irrigation, Crop reclaimed wastewater for crops, in Mgal/d	Irrigation, Golf Courses self-supplied groundwater withdrawals for golf courses, fresh, in Mgal/d	Irrigation, Golf Courses self-supplied surface-water withdrawals for golf courses, fresh, in Mgal/d	Irrigation, Golf Courses total self-supplied withdrawals for golf courses, fresh, in Mgal/d	Irrigation, Golf Courses consumptive use for golf courses, fresh, in Mgal/d	Irrigation, Golf Courses sprinkler irrigation for golf courses, in thousand acres	Irrigation, Golf Courses microirrigation for golf courses, in thousand acres	Irrigation, Golf Courses surface irrigation for golf courses, in thousand acres	Irrigation, Golf Courses total irrigation for golf courses, in thousand acres	Irrigation, Golf Courses reclaimed wastewater for golf courses, in Mgal/d
06	California	013	Contra Costa County	1985	711.880	11.430	318.790	330.220	1.87	-	-	52.28	-	-	54.15	-	-	33.03	12.45	56.38	1.91	103.77	-	-	-	-	10.25	-	-	0.54	-	-	10.79	-	-	12.45	-	9.98	-	-	-	381.660	27.19	-	-	1.43	-	-	28.62	-	-	75	33.030	100	61.65	16.03	-	-	-	-	-	-	39.95	66.87	80.61	9.02	-	33.98	-	0.85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	013	Contra Costa County	1990	803.730	11.550	734.490	746.040	2.00	-	-	121.03	-	-	123.03	-	-	77.60	16.65	31.92	0.40	126.57	-	-	-	50	0.00	-	-	0.04	-	-	0.04	-	-	16.65	-	1.72	-	-	-	57.690	0.09	-	-	4.24	-	-	4.33	-	-	75	77.600	104	81.93	21.30	-	-	-	-	-	-	0.04	0.68	0.54	0.03	-	0.27	-	1.46	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	013	Contra Costa County	1995	867.300	27.080	837.300	864.380	3.62	0.00	3.62	130.95	0.00	130.95	134.57	0.00	134.57	83.01	18.29	13.07	0.00	114.37	20.20	156.00	2.07	12	0.30	0.00	0.30	0.00	0.00	0.00	0.30	0.00	0.30	18.29	18.59	4.75	0.00	4.75	0.09	2.920	0.20	0.00	0.20	0.02	0.00	0.02	0.22	0.00	0.22	75	83.010	96	83.23	21.64	0.00	21.64	-	-	-	-	30.80	57.75	82.45	6.87	1.65	30.48	39.00	0.76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	013	Contra Costa County	2000	948.820	23.790	903.890	927.680	3.07	-	-	156.54	-	-	159.61	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21.140	1.43	-	-	0.16	-	-	1.59	-	-	75	-	-	-	-	-	-	0.40	0.50	0.90	-	34.27	61.61	-	4.95	4.40	35.00	44.35	-	32.20	60.40	92.60	-	1.50	4.40	35.00	40.90	-	2.07	1.21	3.28	-	3.45	0.00	0.00	3.45	-
06	California	013	Contra Costa County	2005	1017.787	118.433	868.508	986.941	20.80	0.00	20.80	152.53	0.00	152.53	173.33	0.00	173.33	112.37	-	-	-	-	-	176.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30.846	28.87	-	-	0.00	-	-	28.87	-	-	936	112.370	114	141.24	-	-	-	0.22	0.27	0.49	-	5.41	105.96	-	1.29	3.72	29.71	34.72	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	013	Contra Costa County	2010	1049.025	21.120	991.860	1012.980	8.21	0.00	8.21	169.97	0.00	169.97	178.18	0.00	178.18	90.72	-	34.02	-	-	-	176.00	13.42	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36.045	2.05	-	-	0.66	-	-	2.71	-	-	75	90.720	90	93.43	-	-	-	0.16	0.20	0.36	-	5.58	61.47	-	4.18	3.79	30.30	38.27	-	3.06	60.00	63.06	62.87	1.32	3.79	30.30	35.41	-	2.52	1.47	3.99	-	2.86	0.00	0.00	2.86	-
06	California	015	Del Norte County	1985	18.680	12.190	0.050	12.240	2.19	-	-	0.01	-	-	2.20	-	-	1.34	0.51	0.00	0.00	1.85	-	-	-	-	0.15	-	-	0.03	-	-	0.18	-	-	0.51	-	0.24	-	-	-	6.440	0.41	-	-	0.08	-	-	0.49	-	-	76	1.340	109	1.83	0.47	-	-	-	-	-	-	1.99	6.94	6.88	2.91	-	2.89	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	015	Del Norte County	1990	23.460	14.590	0.000	14.590	2.47	-	-	0.01	-	-	2.48	-	-	1.48	0.35	0.00	0.00	1.83	-	-	-	20	0.00	-	-	0.00	-	-	0.00	-	-	0.35	-	0.00	-	-	-	8.870	0.66	-	-	0.00	-	-	0.66	-	-	74	1.480	101	2.14	0.55	-	-	-	-	-	-	5.89	4.55	8.12	0.35	-	6.55	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	015	Del Norte County	1995	27.600	21.260	0.140	21.400	2.92	0.00	2.92	0.01	0.00	0.01	2.93	0.00	2.93	0.91	1.29	0.09	0.00	2.29	0.64	137.00	0.00	9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.29	1.29	0.34	0.00	0.34	0.03	6.200	0.43	0.00	0.43	0.05	0.00	0.05	0.48	0.00	0.48	77	0.910	43	1.39	0.36	0.00	0.36	-	-	-	-	6.57	9.23	14.79	0.70	0.07	5.93	6.70	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	015	Del Norte County	2000	27.510	17.890	0.550	18.440	3.08	-	-	0.90	-	-	3.98	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9.070	0.61	-	-	0.07	-	-	0.68	-	-	75	-	-	-	-	-	-	0.05	0.07	0.12	-	7.12	9.92	-	7.28	0.00	0.00	7.28	-	7.10	9.90	17.00	-	7.20	0.00	0.00	7.20	-	0.02	0.02	0.04	-	0.08	0.00	0.00	0.08	-
06	California	015	Del Norte County	2005	28.705	0.000	19.380	19.380	0.00	0.00	0.00	2.38	0.00	2.38	2.38	0.00	2.38	2.26	-	-	-	-	-	123.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9.325	0.30	-	-	0.30	-	-	0.60	-	-	64	2.260	117	2.86	-	-	-	0.19	0.27	0.46	-	4.71	0.06	-	7.10	0.00	0.00	7.10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	015	Del Norte County	2010	28.610	19.540	1.200	20.740	2.73	0.00	2.73	0.16	0.00	0.16	2.89	0.00	2.89	1.33	-	0.03	-	-	-	139.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7.870	0.49	-	-	0.10	-	-	0.59	-	-	75	1.330	64	1.92	-	-	-	0.21	0.29	0.50	-	9.49	0.18	-	7.70	0.00	0.00	7.70	-	9.43	0.12	9.55	15.29	7.61	0.00	0.00	7.61	-	0.06	0.06	0.12	-	0.09	0.00	0.00	0.09	0.00
06	California	017	El Dorado County	1985	103.850	29.970	44.950	74.920	7.60	-	-	11.89	-	-	19.49	-	-	11.89	4.48	1.19	0.00	17.56	-	-	-	-	0.46	-	-	0.06	-	-	0.52	-	-	4.48	-	1.43	-	-	-	28.930	1.22	-	-	0.17	-	-	1.39	-	-	48	11.890	159	13.28	3.45	-	-	-	-	-	-	4.76	11.11	10.91	1.24	-	4.76	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	017	El Dorado County	1990	126.000	23.950	87.310	111.260	7.32	-	-	33.35	-	-	40.67	-	-	24.40	5.29	0.08	0.00	29.77	-	-	-	41	0.00	-	-	0.00	-	-	0.00	-	-	5.29	-	0.00	-	-	-	14.740	0.16	-	-	0.46	-	-	0.62	-	-	42	24.400	219	25.02	6.51	-	-	-	-	-	-	1.39	18.50	13.56	3.05	-	3.05	-	4.50	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	017	El Dorado County	1995	144.200	38.970	82.810	121.780	7.47	0.00	7.47	44.87	0.00	44.87	52.34	0.00	52.34	30.11	6.10	0.23	0.00	36.44	15.90	430.00	0.30	14	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	6.10	6.11	1.59	0.00	1.59	0.00	22.420	1.51	0.00	1.51	0.17	0.00	0.17	1.68	0.00	1.68	75	30.110	247	31.79	8.81	0.00	8.81	-	-	-	-	3.01	16.12	18.01	1.69	0.67	3.24	5.60	0.62	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	017	El Dorado County	2000	156.300	37.000	106.540	143.540	7.56	-	-	28.01	-	-	35.57	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.760	0.86	-	-	0.10	-	-	0.96	-	-	75	-	-	-	-	-	-	0.09	0.12	0.21	-	3.61	14.80	-	3.84	2.10	0.00	5.94	-	2.60	14.10	16.70	-	2.80	2.10	0.00	4.90	-	1.01	0.70	1.71	-	1.04	0.00	0.00	1.04	-
06	California	017	El Dorado County	2005	176.841	14.140	155.711	169.851	1.74	0.00	1.74	19.21	0.00	19.21	20.95	0.00	20.95	21.80	-	-	-	-	-	123.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6.990	16.40	-	-	0.08	-	-	16.48	-	-	2358	21.800	128	38.28	-	-	-	0.07	0.09	0.16	-	3.63	4.58	-	2.92	2.14	0.00	5.06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	017	El Dorado County	2010	181.058	35.370	132.190	167.560	6.17	0.00	6.17	37.45	0.00	37.45	43.62	0.00	43.62	21.27	-	0.38	-	-	-	260.00	1.86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.498	0.64	-	-	0.17	-	-	0.81	-	-	60	21.270	127	22.08	-	-	-	0.07	0.09	0.16	-	4.86	5.33	-	4.32	2.47	0.00	6.79	-	3.45	4.35	7.80	13.04	3.38	2.47	0.00	5.85	-	1.41	0.98	2.39	-	0.94	0.00	0.00	0.94	-
06	California	019	Fresno County	1985	579.690	505.180	5.890	511.070	133.89	-	-	1.28	-	-	135.17	-	-	82.45	31.09	7.62	0.00	121.16	-	-	-	-	1.66	-	-	0.03	-	-	1.69	-	-	31.09	-	8.65	-	-	-	68.620	4.40	-	-	0.09	-	-	4.49	-	-	65	82.450	161	86.94	22.61	-	-	-	-	-	-	1409.83	1794.33	2180.14	224.06	-	1042.54	-	22.43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	019	Fresno County	1990	667.490	543.040	18.040	561.080	163.41	-	-	5.42	-	-	168.83	-	-	131.49	18.09	9.70	0.00	159.28	-	-	-	200	0.00	-	-	20.03	-	-	20.03	-	-	18.09	-	0.01	-	-	-	106.410	7.74	-	-	0.24	-	-	7.98	-	-	75	131.490	234	139.47	36.26	-	-	-	-	-	-	807.10	2574.09	2531.33	25.75	-	1261.65	-	7.93	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	019	Fresno County	1995	754.100	645.930	18.040	663.970	163.57	0.00	163.57	5.42	0.00	5.42	168.99	0.00	168.99	141.68	24.60	6.17	0.00	172.45	-3.46	255.00	0.00	58	0.00	0.00	0.00	18.01	0.00	18.01	18.01	0.00	18.01	24.60	42.61	6.41	0.00	6.41	0.00	90.130	6.08	0.00	6.08	0.68	0.00	0.68	6.76	0.00	6.76	75	141.680	213	148.44	38.59	0.00	38.59	-	-	-	-	1564.46	1764.72	2585.08	201.73	127.13	841.54	1170.40	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	019	Fresno County	2000	799.410	742.610	15.070	757.680	194.04	-	-	2.08	-	-	196.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	41.730	2.82	-	-	0.31	-	-	3.13	-	-	75	-	-	-	-	-	-	9.22	11.74	20.96	-	1640.35	1849.50	-	42.29	415.50	769.80	1227.59	-	1638.60	1848.30	3486.90	-	40.50	415.50	769.80	1225.80	-	1.75	1.20	2.95	-	1.79	0.00	0.00	1.79	-
06	California	019	Fresno County	2005	877.584	66.673	674.134	740.807	42.86	0.00	42.86	433.34	0.00	433.34	476.20	0.00	476.20	159.95	-	-	-	-	-	643.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	136.777	36.06	-	-	4.01	-	-	40.07	-	-	293	159.950	216	200.02	-	-	-	5.83	7.43	13.26	-	763.74	1934.98	-	37.87	389.07	720.76	1147.70	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	019	Fresno County	2010	930.450	784.030	41.180	825.210	178.95	0.00	178.95	78.99	0.00	78.99	257.94	0.00	257.94	131.29	-	12.95	-	-	-	313.00	0.42	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	105.240	7.11	-	-	0.53	-	-	7.64	-	-	73	131.290	159	138.93	-	-	-	6.17	7.86	14.03	-	706.66	1786.11	-	37.57	370.27	685.94	1093.78	-	704.36	1784.53	2488.89	2125.64	36.04	370.27	685.94	1092.25	-	2.30	1.58	3.88	-	1.53	0.00	0.00	1.53	-
06	California	021	Glenn County	1985	23.080	13.930	0.450	14.380	3.54	-	-	0.11	-	-	3.65	-	-	2.23	0.84	0.03	0.00	3.10	-	-	-	-	0.24	-	-	0.00	-	-	0.24	-	-	0.84	-	0.36	-	-	-	8.700	0.64	-	-	0.01	-	-	0.65	-	-	75	2.230	155	2.88	0.75	-	-	-	-	-	-	187.22	656.10	489.48	51.82	-	183.18	-	13.49	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	021	Glenn County	1990	24.800	14.720	0.000	14.720	3.97	-	-	0.00	-	-	3.97	-	-	2.38	0.52	0.23	0.00	3.13	-	-	-	13	0.00	-	-	0.00	-	-	0.00	-	-	0.52	-	0.00	-	-	-	10.080	0.76	-	-	0.00	-	-	0.76	-	-	75	2.380	162	3.14	0.81	-	-	-	-	-	-	232.21	561.58	551.50	22.42	-	201.78	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	021	Glenn County	1995	26.600	15.430	0.000	15.430	4.09	0.00	4.09	0.00	0.00	0.00	4.09	0.00	4.09	2.82	0.65	0.00	0.00	3.47	0.62	265.00	0.00	4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.65	0.17	0.00	0.17	0.00	11.170	0.75	0.00	0.75	0.08	0.00	0.08	0.83	0.00	0.83	74	2.820	183	3.65	0.98	0.00	0.98	-	-	-	-	282.57	557.92	683.36	41.46	5.81	195.13	242.40	0.21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	021	Glenn County	2000	26.450	14.190	0.000	14.190	4.37	-	-	0.00	-	-	4.37	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.260	0.83	-	-	0.09	-	-	0.92	-	-	75	-	-	-	-	-	-	1.42	1.80	3.22	-	226.81	447.78	-	22.92	74.50	97.30	194.72	-	226.70	447.70	674.40	-	22.80	74.50	97.30	194.60	-	0.11	0.08	0.19	-	0.12	0.00	0.00	0.12	-
06	California	021	Glenn County	2005	27.759	4.682	11.705	16.387	1.00	0.00	1.00	2.50	0.00	2.50	3.50	0.00	3.50	5.99	-	-	-	-	-	214.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11.372	1.65	-	-	0.66	-	-	2.31	-	-	203	5.990	366	8.30	-	-	-	0.94	1.20	2.14	-	273.83	456.16	-	26.16	84.97	111.80	222.93	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	021	Glenn County	2010	28.122	17.820	0.450	18.270	4.34	0.00	4.34	0.08	0.00	0.08	4.42	0.00	4.42	2.65	-	0.03	-	-	-	242.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9.852	0.66	-	-	0.07	-	-	0.73	-	-	74	2.650	145	3.38	-	-	-	0.92	1.17	2.09	-	224.65	374.21	-	26.47	85.82	112.91	225.20	-	224.62	374.19	598.81	516.85	26.42	85.82	112.91	225.15	-	0.03	0.02	0.05	-	0.05	0.00	0.00	0.05	-
06	California	023	Humboldt County	1985	112.900	25.270	58.650	83.920	3.16	-	-	7.44	-	-	10.60	-	-	6.47	2.44	100.25	0.00	109.16	-	-	-	-	0.26	-	-	0.19	-	-	0.45	-	-	2.44	-	0.88	-	-	-	28.980	0.68	-	-	0.51	-	-	1.19	-	-	41	6.470	77	7.66	1.99	-	-	-	-	-	-	8.84	30.98	30.54	12.40	-	12.40	-	0.40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	023	Humboldt County	1990	119.120	34.210	66.520	100.730	9.36	-	-	9.98	-	-	19.34	-	-	11.45	2.54	60.80	0.00	74.79	-	-	-	82	0.00	-	-	12.89	-	-	12.89	-	-	2.54	-	0.01	-	-	-	18.390	0.47	-	-	0.91	-	-	1.38	-	-	75	11.450	114	12.83	3.33	-	-	-	-	-	-	31.05	6.16	28.74	0.46	-	22.44	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	023	Humboldt County	1995	124.500	31.900	72.340	104.240	26.56	0.00	26.56	10.74	0.00	10.74	37.30	0.00	37.30	11.93	3.15	16.94	0.00	32.02	5.28	358.00	0.00	41	0.00	0.00	0.00	4.09	0.00	4.09	4.09	0.00	4.09	3.15	7.24	0.82	0.00	0.82	0.00	20.260	1.37	0.00	1.37	0.15	0.00	0.15	1.52	0.00	1.52	75	11.930	114	13.45	3.50	0.00	3.50	-	-	-	-	25.30	19.97	44.23	2.15	0.10	19.25	21.50	2.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	023	Humboldt County	2000	126.520	104.750	5.420	110.170	15.30	-	-	18.56	-	-	33.86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.350	1.10	-	-	0.12	-	-	1.22	-	-	75	-	-	-	-	-	-	1.66	2.11	3.77	-	39.81	31.32	-	31.02	0.00	2.90	33.92	-	39.20	30.90	70.10	-	30.40	0.00	2.90	33.30	-	0.61	0.42	1.03	-	0.62	0.00	0.00	0.62	-
06	California	023	Humboldt County	2005	128.376	7.048	63.434	70.482	1.30	0.00	1.30	11.72	0.00	11.72	13.02	0.00	13.02	11.72	-	-	-	-	-	185.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	57.894	1.46	-	-	1.46	-	-	2.92	-	-	50	11.720	166	14.64	-	-	-	0.91	1.16	2.07	-	32.59	1.52	-	32.72	0.00	3.08	35.80	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	023	Humboldt County	2010	134.623	21.424	102.877	124.301	3.54	0.00	3.54	12.68	0.00	12.68	16.22	0.00	16.22	9.18	-	0.33	-	-	-	130.00	1.93	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10.322	0.44	-	-	0.24	-	-	0.68	-	-	66	9.180	74	9.86	-	-	-	0.74	0.95	1.69	-	36.46	2.11	-	25.04	0.00	2.28	27.32	-	35.82	1.67	37.49	58.99	24.26	0.00	2.28	26.54	0.49	0.64	0.44	1.08	-	0.78	0.00	0.00	0.78	-
06	California	025	Imperial County	1985	105.720	3.650	63.400	67.050	0.96	-	-	16.25	-	-	17.21	-	-	10.50	3.96	0.36	0.00	14.82	-	-	-	-	0.14	-	-	0.45	-	-	0.59	-	-	3.96	-	1.34	-	-	-	38.670	0.36	-	-	1.20	-	-	1.56	-	-	40	10.500	157	12.06	3.14	-	-	-	-	-	-	48.80	2391.34	1714.07	0.00	-	514.67	-	1.95	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	025	Imperial County	1990	109.300	1.270	75.420	76.690	0.16	-	-	21.51	-	-	21.67	-	-	12.75	3.19	0.17	0.00	16.11	-	-	-	33	0.00	-	-	0.00	-	-	0.00	-	-	3.19	-	0.00	-	-	-	32.610	0.05	-	-	2.40	-	-	2.45	-	-	75	12.750	166	15.20	3.95	-	-	-	-	-	-	130.04	2284.04	1749.61	4.77	-	513.17	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	025	Imperial County	1995	137.400	121.970	0.000	121.970	0.16	0.00	0.16	22.72	0.00	22.72	22.88	0.00	22.88	13.70	4.69	0.00	0.00	18.39	4.49	188.00	0.00	12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.69	4.69	1.22	0.00	1.22	0.00	15.430	1.04	0.00	1.04	0.12	0.00	0.12	1.16	0.00	1.16	75	13.700	112	14.86	4.39	0.00	4.39	-	-	-	-	86.47	2483.56	2285.66	70.06	12.54	487.40	570.00	18.56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	025	Imperial County	2000	142.360	0.890	136.070	136.960	0.12	-	-	31.03	-	-	31.15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.400	0.36	-	-	0.04	-	-	0.40	-	-	74	-	-	-	-	-	-	5.04	2.22	7.26	-	95.69	2739.20	-	0.29	18.90	609.70	628.89	-	95.40	2739.00	2834.40	-	0.00	18.90	609.70	628.60	-	0.29	0.20	0.49	-	0.29	0.00	0.00	0.29	-
06	California	025	Imperial County	2005	155.823	28.901	96.338	125.239	7.00	0.00	7.00	23.33	0.00	23.33	30.33	0.00	30.33	24.14	-	-	-	-	-	242.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30.584	0.05	-	-	0.08	-	-	0.13	-	-	4	24.140	193	24.27	-	-	-	4.41	1.94	6.35	-	20.98	2076.68	-	0.00	15.13	489.13	504.26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	025	Imperial County	2010	174.528	5.270	151.080	156.350	1.95	0.00	1.95	30.27	0.00	30.27	32.22	0.00	32.22	18.03	-	1.75	-	-	-	206.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18.178	0.28	-	-	0.30	-	-	0.58	-	-	32	18.030	115	18.61	-	-	-	4.99	2.20	7.19	-	11.47	1077.05	-	0.29	16.74	541.14	558.17	-	10.88	1076.64	1087.52	898.52	0.00	16.74	541.14	557.88	-	0.59	0.41	1.00	-	0.29	0.00	0.00	0.29	0.00
06	California	027	Inyo County	1985	18.270	12.660	0.940	13.600	6.10	-	-	0.32	-	-	6.42	-	-	3.92	1.48	0.00	0.00	5.40	-	-	-	-	0.10	-	-	0.03	-	-	0.13	-	-	1.48	-	0.44	-	-	-	4.670	0.27	-	-	0.08	-	-	0.35	-	-	75	3.920	288	4.27	1.11	-	-	-	-	-	-	36.95	19.46	44.29	11.70	-	0.00	-	1.13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	027	Inyo County	1990	18.280	5.920	1.050	6.970	2.41	-	-	0.79	-	-	3.20	-	-	1.70	0.75	0.00	0.00	2.45	-	-	-	50	29.80	-	-	3.88	-	-	33.68	-	-	0.75	-	0.03	-	-	-	11.310	0.72	-	-	0.13	-	-	0.85	-	-	75	1.700	244	2.55	0.66	-	-	-	-	-	-	16.80	69.84	67.46	1.55	-	16.90	-	0.27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
